data1,data2
0xFF,0xFF502E
0xFF,0xFF4EFB
0xFF,0xFF4F8F
0x00,0xFF50FB
0x00,0xFF5492
0x00,0xFF59A5
0x01,0xFF6038
0x01,0xFF68A5
0x01,0xFF7232
0x01,0xFF7CF1
0x00,0xFF8899
0x00,0xFF9557
0x00,0xFFA29D
0xFF,0xFFB0BF
0xFF,0xFFBEB1
0xFE,0xFFCC63
0xFE,0xFFDA6D
0xFD,0xFFE798
0xFC,0xFFF4D1
0xFC,0x000114
0xFB,0x000C93
0xFB,0x001750
0xFA,0x00214C
0xFA,0x002A2F
0xFA,0x0031EF
0xFA,0x0038CA
0xFA,0x003EFA
0xFA,0x0043F9
0xFA,0x0047D3
0xFA,0x004A8F
0xFA,0x004C43
0xFB,0x004D3A
0xFB,0x004D5A
0xFC,0x004C2B
0xFC,0x004A93
0xFD,0x004833
0xFD,0x004542
0xFE,0x0041B0
0xFE,0x003DE9
0xFE,0x003A15
0xFF,0x003659
0xFF,0x0032B3
0xFF,0x002F62
0x00,0x002CE8
0x00,0x002ADC
0x00,0x0029CC
0x01,0x002976
0x01,0x002A61
0x01,0x002BFD
0x02,0x002EE6
0x02,0x0032FA
0x02,0x0037CD
0x02,0x003DEB
0x03,0x0044BE
0x03,0x004C39
0x03,0x00547B
0x03,0x005D6A
0x03,0x0066E8
0x02,0x00708D
0x02,0x007AB8
0x02,0x008512
0x01,0x008FB1
0x01,0x009ABE
0x00,0x00A591
0xFF,0x00B0F2
0xFF,0x00BC74
0xFE,0x00C87A
0xFE,0x00D4A0
0xFD,0x00E151
0xFD,0x00EEFC
0xFD,0x00FCF0
0xFD,0x010BBF
0xFD,0x011B33
0xFD,0x012BAD
0xFD,0x013D2B
0xFD,0x014F59
0xFD,0x0161D4
0xFE,0x017602
0xFE,0x018AE9
0xFF,0x01A000
0xFF,0x01B638
0xFF,0x01CC49
0x00,0x01E319
0x00,0x01FA25
0x00,0x02111A
0x00,0x0228A1
0x00,0x023FE5
0x00,0x025683
0x00,0x026D6A
0x00,0x028362
0x00,0x029886
0x00,0x02AD26
0xFF,0x02C132
0xFF,0x02D3F9
0xFF,0x02E644
0xFF,0x02F729
0xFF,0x03070B
0xFE,0x0315CF
0xFE,0x0322E5
0xFE,0x032FB3
0xFF,0x033A90
0xFF,0x034478
0xFF,0x034D4B
0xFF,0x0354FF
0xFF,0x035C04
0xFF,0x0361B4
0x00,0x0366DD
0x00,0x036B96
0x00,0x036F43
0x00,0x03728D
0x00,0x0375E0
0x00,0x0378DB
0x00,0x037AF5
0x00,0x037DE4
0x00,0x03807D
0xFF,0x038293
0xFF,0x038491
0xFF,0x038683
0xFF,0x0388B7
0xFE,0x038A5E
0xFE,0x038BA2
0xFE,0x038CDB
0xFE,0x038CD7
0xFE,0x038C66
0xFE,0x038B59
0xFE,0x03892D
0xFE,0x03865E
0xFE,0x03820E
0xFE,0x037C74
0xFE,0x0375DA
0xFE,0x036E4A
0xFF,0x03650F
0xFF,0x035A9E
0xFF,0x034F33
0xFF,0x0342AE
0xFF,0x03353F
0xFF,0x032694
0x00,0x0316D8
0x00,0x03068A
0x00,0x02F57B
0xFF,0x02E355
0xFF,0x02D0B2
0xFF,0x02BD59
0xFF,0x02A8C4
0xFF,0x029350
0xFF,0x027D80
0xFE,0x0266A4
0xFE,0x024F16
0xFE,0x0236B3
0xFE,0x021D82
0xFE,0x0203E6
0xFF,0x01E984
0xFF,0x01CE67
0xFF,0x01B2F7
0x00,0x01972B
0x00,0x017B35
0x01,0x015F2B
0x01,0x014353
0x02,0x012779
0x02,0x010C1C
0x03,0x00F147
0x03,0x00D6B2
0x03,0x00BD40
0x03,0x00A3E1
0x03,0x008B68
0x03,0x007352
0x03,0x005BB9
0x02,0x0044DA
0x02,0x002DF1
0x01,0x001752
0x01,0x0000F7
0x00,0xFFEA91
0xFF,0xFFD3F8
0xFF,0xFFBD3D
0xFF,0xFFA661
0xFE,0xFF8F1F
0xFE,0xFF7794
0xFE,0xFF5FFE
0xFE,0xFF4844
0xFF,0xFF30A8
0xFF,0xFF197F
0x00,0xFF0208
0x00,0xFEEABE
0x01,0xFED434
0x01,0xFEBE17
0x02,0xFEA886
0x03,0xFE9362
0x03,0xFE7F1A
0x04,0xFE6BA7
0x04,0xFE587B
0x05,0xFE4603
0x05,0xFE3417
0x05,0xFE2217
0x05,0xFE10A3
0x04,0xFDFF9C
